,,,,,,Score,Score,Score,Score,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
Rk,Gtm,Date,,Opp,Type▼,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2025-11-03,,La Verne,REG (Non-Conf),W,105,73,,138.8,96.5,75.7,.594,.391,.640,67.1,48.5,17.2,5.7,.594,12.8,50.0,.453,.548,17.4,14.7,.081
2,2,2025-11-08,,Houston Christian,REG (Non-Conf),W,78,60,,111.6,85.8,69.9,.224,.448,.608,53.2,62.1,12.9,3.0,.586,14.6,18.5,.172,.500,19.6,20.0,.091
3,3,2025-11-12,@,Fresno State,REG (Non-Conf),W,78,73,,108.2,101.3,72.1,.217,.617,.589,48.4,46.7,8.3,13.9,.600,21.4,32.3,.100,.483,15.9,36.4,.271
4,4,2025-11-15,,Idaho,REG (Non-Conf),W,75,67,,105.8,94.5,70.9,.560,.340,.592,47.8,70.8,9.9,3.6,.530,14.8,10.3,.440,.442,13.7,25.0,.233
5,5,2025-11-24,N,Temple,REG (Non-Conf),W,91,76,,129.2,107.9,70.4,.357,.429,.695,48.3,60.0,8.5,5.7,.732,7.1,4.0,.161,.483,8.9,20.0,.322
6,6,2025-11-25,N,Bradley,REG (Non-Conf),W,87,77,,123.5,109.3,70.4,.554,.500,.615,46.0,53.8,8.5,13.8,.571,10.2,24.1,.411,.532,14.8,35.3,.177
7,7,2025-11-26,N,Towson,REG (Non-Conf),W,87,73,,132.6,111.3,65.6,.283,.472,.723,46.7,56.3,12.2,2.8,.755,9.1,20.0,.132,.454,11.0,34.3,.215
8,8,2025-12-02,@,Nevada,REG (Non-Conf),L,70,76,,105.5,114.6,66.3,.159,.333,.472,44.6,28.6,7.5,5.0,.449,3.9,25.6,.116,.525,9.0,34.3,.217
9,10,2025-12-14,N,Tulane,REG (Non-Conf),W,93,67,,116.9,84.3,79.5,.213,.453,.563,59.7,60.0,12.6,7.3,.547,12.7,37.8,.147,.426,17.4,20.0,.246
