date,home_away,opp_rank,opponent,result,record,wab,opp_adjO,opp_adjD,off_eff,off_efg,off_to,off_or,off_ftr,off_2p,off_3p,def_eff,def_efg,def_to,def_or,def_ftr,def_2p,def_3p,gamescore,plus_minus,game_num,outcome,location,net_eff,opp_adj_margin
Mon 11-03  11-03,150,0 (Ⅳ),La Verne,"W, 105-73",1-0,0.0,,,139.7,59.4,16.0,48.6,59.4,,,97.1,54.8,18.6,17.1,14.5,,,,,1,W,,42.599999999999994,
Sat 11-08  11-08,149,303 (Ⅳ),Houston Christian,"W, 78-60",2-0,0.0,105.4,95.1,112.4,58.6,17.3,26.7,22.4,,,86.4,50.0,23.1,18.9,25.5,,,77.0,9.3,2,W,,26.0,10.300000000000011
Wed 11-12  11-12,139,129 (Ⅲ),Fresno St.,"W, 78-73",3-0,0.3,117.1,102.6,109.7,60.0,25.3,34.3,21.7,,,102.7,48.3,19.7,35.1,35.6,,,82.0,4.0,3,W,,7.0,14.5
Sat 11-15  11-15,137,145 (Ⅲ),Idaho,"W, 75-67",4-0,0.5,104.7,102.3,107.3,53.0,15.7,12.9,56.0,,,95.9,44.2,15.7,26.2,33.3,,,56.0,-2.7,4,W,,11.399999999999991,2.4000000000000057
Mon 11-24  11-24,139,141 (Ⅲ),Temple,"W, 91-76",5-0,0.6,130.8,108.8,133.0,73.2,7.3,7.4,35.7,,,111.1,48.3,10.2,26.3,44.1,,,89.0,8.1,5,W,,21.900000000000006,22.000000000000014
Tue 11-25  11-25,128,137 (Ⅲ),Bradley,"W, 87-77",6-0,0.8,122.7,110.1,124.4,57.1,12.9,27.3,55.4,,,110.1,53.2,20.0,36.8,24.2,,,78.0,3.1,6,W,,14.300000000000011,12.600000000000009
Wed 11-26  11-26,122,174 (Ⅲ),Towson,"W, 87-73",7-0,1.0,144.6,115.5,135.7,75.5,10.9,20.0,28.3,,,113.9,45.4,14.0,39.0,26.2,,,93.0,13.3,7,W,,21.799999999999983,29.099999999999994
Tue 12-02  12-02,103,80 (I),Nevada,"L, 76-70",7-1,0.5,115.6,112.0,108.8,44.9,6.2,30.2,15.9,,,118.1,52.5,12.4,39.5,36.7,,,59.0,-4.3,8,L,,-9.299999999999997,3.5999999999999943
Sat 12-06  12-06,105,251 (Ⅳ),Long Beach St.,"W, 80-74",8-1,0.6,117.7,112.4,118.0,61.0,16.2,17.9,50.0,,,109.1,53.2,13.3,25.0,15.9,,,63.0,4.4,9,W,,8.900000000000006,5.299999999999997
Sat 12-13  12-13,103,201 (Ⅳ),Tulane,"W, 93-67",9-1,0.7,116.6,88.5,119.2,54.7,15.4,39.5,21.3,,,85.9,42.6,19.2,19.5,36.1,,,96.0,13.4,10,W,,33.3,28.099999999999994
Tue 12-16  12-16,91,155 (Ⅲ),Loyola Marymount,"W, 67-57",10-1,1.0,96.9,83.2,94.5,49.2,22.6,37.1,32.2,,,80.4,47.3,25.4,21.1,17.9,,,85.0,3.2,11,W,,14.099999999999994,13.700000000000003
Fri 12-19  12-19,88,222 (Ⅳ),San Diego,"L, 82-80",10-2,0.0,109.9,127.7,118.7,57.6,13.4,27.6,27.1,,,121.6,53.7,14.8,39.5,16.4,,,15.0,-6.5,12,L,,-2.8999999999999915,-17.799999999999997
Sun 12-28  12-28,90,0 (Ⅳ),Stanton,"W, 85-62",11-2,0.0,,,125.8,53.9,13.3,40.9,39.1,,,91.8,51.0,26.6,21.4,21.6,,,,,13,W,,34.0,
Thu 1-01  1-01,89,221 (Ⅲ),Cal Poly,"L, 67-65",11-3,-0.8,96.8,97.8,97.9,41.5,16.6,34.9,20.0,,,100.9,43.2,13.6,35.6,21.2,,,47.0,2.3,14,L,,-3.0,-1.0
Sat 1-03  1-03,92,120 (Ⅲ),Hawaii,"W, 83-73",12-3,-0.7,129.4,111.7,122.8,54.7,11.8,31.3,23.4,,,108.0,53.8,16.3,23.3,35.8,,,84.0,6.6,15,W,,14.799999999999997,17.700000000000003
Thu 1-08  1-08,90,206 (Ⅳ),Cal St. Fullerton,"L, 88-71",12-4,-1.6,104.3,125.7,102.2,48.2,24.5,35.3,36.4,,,126.7,62.9,8.6,18.2,41.4,,,10.0,-3.4,16,L,,-24.5,-21.400000000000006
Sat 1-10  1-10,99,256 (Ⅳ),UC Riverside,"W, 69-66",13-4,-1.5,104.5,107.8,106.7,54.2,18.6,31.0,52.1,,,102.0,43.0,20.1,33.3,35.1,,,41.0,-1.0,17,W,,4.700000000000003,-3.299999999999997
Thu 1-15  1-15,103,176 (Ⅳ),Cal St. Northridge,"L, 84-79",13-5,-2.4,108.1,117.3,109.1,48.5,8.3,21.4,28.4,,,116.0,50.8,9.7,36.1,45.3,,,28.0,-2.0,18,L,,-6.900000000000006,-9.200000000000003
Sat 1-17  1-17,112,329 (Ⅳ),Cal St. Bakersfield,"W, 83-62",14-5,-2.3,108.4,93.7,116.6,54.8,11.2,23.1,31.7,,,87.1,38.4,21.1,31.0,48.2,,,84.0,10.9,19,W,,29.5,14.700000000000003
Thu 1-22  1-22,107,172 (Ⅲ),UC Davis,"W, 80-74",15-5,-2.1,109.2,102.3,107.5,55.5,21.5,34.4,49.1,,,99.5,44.8,14.8,24.5,31.3,,,68.0,0.7,20,W,,8.0,6.900000000000006
Sat 1-24  1-24,110,114 (Ⅲ),UC Irvine,"L, 61-59",15-6,-2.9,91.3,92.4,84.0,40.8,12.8,18.2,13.8,,,86.9,43.5,14.2,20.0,21.0,,,47.0,-1.1,21,L,,-2.9000000000000057,-1.1000000000000085
Thu 1-29  1-29,114,134 (Ⅲ),UC Santa Barbara,"L, 62-48",15-7,-3.8,71.4,92.3,73.2,41.0,29.0,25.7,24.0,,,94.5,47.1,18.3,20.6,39.2,,,5.0,-8.5,22,L,,-21.299999999999997,-20.89999999999999
Sat 1-31  1-31,121,176 (Ⅲ),Cal St. Northridge,"L, 81-64",15-8,-4.6,88.3,104.4,85.1,40.0,14.6,29.2,25.7,,,107.7,50.8,21.3,40.0,37.1,,,13.0,-6.5,23,L,,-22.60000000000001,-16.10000000000001
Thu 2-05  2-05,127,251 (Ⅳ),Long Beach St.,"W, 77-74",16-8,-4.5,98.4,106.9,103.2,50.9,24.1,32.4,52.7,,,99.1,52.8,16.1,3.2,37.0,,,28.0,-1.4,24,W,,4.1000000000000085,-8.5
Sat 2-07  2-07,131,120 (Ⅱ),Hawaii,"L, 72-67",16-9,-5.2,97.0,98.3,90.3,48.3,14.8,7.9,30.5,,,97.0,47.5,18.9,33.3,38.3,,,46.0,-3.6,25,L,,-6.700000000000003,-1.2999999999999972
Thu 2-12  2-12,135,172 (Ⅳ),UC Davis,"W, 68-51",17-9,-5.1,97.4,75.1,96.7,61.0,29.9,16.7,18.0,,,72.5,40.3,18.5,20.0,11.3,,,95.0,10.5,26,W,,24.200000000000003,22.30000000000001
Sat 2-14  2-14,128,256 (Ⅳ),UC Riverside,"W, 72-66",18-9,-5.1,98.9,98.4,101.3,46.7,14.1,23.1,32.8,,,92.9,44.1,15.5,18.4,27.1,,,51.0,4.7,27,W,,8.399999999999991,0.5
Sat 2-21  2-21,131,114 (Ⅱ),UC Irvine,"W, 71-69",19-9,-4.7,128.5,110.0,112.2,52.5,14.2,33.3,18.6,,,109.0,47.8,12.6,35.9,10.4,,,86.0,5.5,28,W,,3.200000000000003,18.5
Thu 2-26  2-26,127,329 (Ⅳ),Cal St. Bakersfield,"W, 84-72",20-9,-4.7,109.6,107.4,117.6,57.7,16.8,33.3,67.3,,,100.8,48.0,18.2,13.3,65.3,,,56.0,10.8,29,W,,16.799999999999997,2.1999999999999886
Sat 2-28  2-28,127,221 (Ⅳ),Cal Poly,"W, 80-64",21-9,-4.6,107.7,92.6,114.0,52.2,8.5,24.4,23.9,,,91.2,48.3,21.4,19.4,13.8,,,85.0,9.1,30,W,,22.799999999999997,15.100000000000009
Thu 3-05  3-05,120,206 (Ⅲ),Cal St. Fullerton,"L, 75-71",21-10,-5.4,105.3,104.3,101.6,56.7,21.5,20.0,5.0,,,107.4,51.5,12.9,27.5,13.4,,,53.0,5.7,31,L,,-5.800000000000011,1.0
Sat 3-07  3-07,121,134 (Ⅲ),UC Santa Barbara,"W, 64-63",22-10,-5.1,102.3,96.5,102.5,48.1,11.2,20.6,33.3,,,100.9,56.3,27.2,26.9,18.8,,,66.0,0.1,32,W,,1.5999999999999943,5.799999999999997
Wed 3-11  3-11,118,221 (Ⅳ),Cal Poly,"W, 72-69",23-10,-5.0,92.4,96.1,98.3,50.0,17.8,20.0,45.5,,,94.2,43.1,16.4,26.2,24.6,,,39.0,-3.2,33,W,,4.099999999999994,-3.6999999999999886
Thu 3-12  3-12,121,176 (Ⅲ),Cal St. Northridge,"L, 80-70",23-11,-5.9,100.3,106.5,96.4,45.1,20.7,25.6,27.9,,,110.2,55.7,13.8,21.9,24.6,,,33.0,1.0,34,L,,-13.799999999999997,-6.200000000000003
